#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
      392000       7.626850e-03       6.924084e-04       4.001468e-03       2.651554e-01       7.565062e-03       4.120964e-02
      394000       1.050434e-02       7.340623e-04       5.385802e-03       2.238144e-01       5.832017e-03       3.829730e-02
      396000       1.381790e-02       6.029960e-04       7.501979e-03       1.309959e-01       6.372724e-03       3.845995e-02
      398000       1.188956e-02       5.996364e-04       6.568879e-03       1.339572e-01       1.025920e-02       3.489834e-02
      400000       9.368516e-03       4.935940e-04       5.035485e-03       1.380377e-01       1.055352e-02       3.582446e-02
      400000       9.368516e-03       4.935940e-04       5.035485e-03       1.380377e-01       1.055352e-02       3.582446e-02
      402000       1.163760e-02       1.019679e-03       5.713137e-03       1.461461e-01       8.172973e-03       3.758703e-02
      404000       1.225118e-02       9.568138e-04       6.840022e-03       1.300398e-01       8.233008e-03       3.544116e-02
      406000       1.181804e-02       3.627627e-04       6.129150e-03       1.649596e-01       5.815133e-03       3.513654e-02
      408000       1.380232e-02       1.489927e-04       7.402651e-03       1.816631e-01       7.237149e-03       3.789194e-02
      410000       1.374442e-02       5.822156e-04       7.182384e-03       2.133887e-01       7.024579e-03       3.867090e-02
      412000       1.080837e-02       1.149620e-03       6.122197e-03       1.577207e-01       8.038947e-03       3.945257e-02
      414000       1.199725e-02       7.688598e-04       6.391949e-03       1.024207e-01       8.209036e-03       3.431953e-02
      416000       8.515152e-03       3.961215e-04       4.625330e-03       1.723046e-01       7.742232e-03       3.419285e-02
      418000       1.258242e-02       3.261248e-04       6.884203e-03       1.382492e-01       5.344784e-03       3.601849e-02
      420000       9.596321e-03       2.492312e-04       5.413269e-03       1.759903e-01       7.356131e-03       3.469239e-02
      422000       9.274617e-03       4.192247e-04       5.121416e-03       2.011033e-01       6.282787e-03       3.503227e-02
      424000       1.211035e-02       6.816324e-04       6.095183e-03       1.501226e-01       9.942250e-03       3.783101e-02
      426000       1.217995e-02       7.585763e-04       6.599027e-03       5.263504e-01       4.848569e-03       5.641433e-02
      428000       3.364503e-03       9.806027e-04       1.943601e-03       1.546534e-01       6.110029e-03       3.523654e-02
      430000       4.209405e-03       6.335661e-04       2.295048e-03       1.586580e-01       9.054616e-03       3.603698e-02
      432000       5.395071e-03       5.191952e-04       2.914816e-03       1.088486e-01       8.954649e-03       3.183293e-02
      434000       8.584682e-03       2.313911e-04       4.791842e-03       1.559245e-01       5.337042e-03       3.652400e-02
      436000       7.286677e-03       6.832499e-04       4.193027e-03       1.443863e-01       5.271226e-03       3.615783e-02
      438000       7.770776e-03       3.632226e-04       4.214619e-03       1.466492e-01       9.260423e-03       3.700749e-02
      440000       5.684364e-03       1.091397e-03       3.017742e-03       1.875195e-01       6.970361e-03       3.659026e-02
      442000       7.281386e-03       9.425468e-04       4.227780e-03       2.456357e-01       7.571208e-03       3.979922e-02
      444000       9.414824e-03       7.040056e-04       5.358049e-03       1.252303e-01       8.397020e-03       3.427072e-02
      446000       7.155714e-03       4.160058e-04       4.018832e-03       2.555386e-01       7.866854e-03       4.150504e-02
      448000       1.083763e-02       3.008778e-04       6.168653e-03       1.767502e-01       8.736537e-03       3.915638e-02
      450000       8.904470e-03       4.173139e-04       4.866372e-03       1.409992e-01       8.891156e-03       3.704983e-02
      452000       1.072471e-02       7.228768e-04       5.806149e-03       2.028499e-01       8.926334e-03       3.876698e-02
      454000       1.009737e-02       7.389752e-04       5.649544e-03       1.394081e-01       8.156548e-03       3.487117e-02
      456000       8.018027e-03       7.628468e-04       4.532609e-03       1.340504e-01       9.179448e-03       3.503635e-02
      458000       4.544673e-03       7.132622e-04       2.622360e-03       2.427640e-01       9.463731e-03       3.502516e-02
      460000       8.837002e-03       7.989940e-04       4.669319e-03       1.395944e-01       7.789871e-03       3.681280e-02
      462000       8.673214e-03       2.700606e-04       4.451634e-03       1.817163e-01       9.522226e-03       3.839641e-02
      464000       6.777838e-03       7.921697e-04       3.787112e-03       1.998394e-01       8.859644e-03       3.734942e-02
      466000       6.320167e-03       6.440043e-04       3.825059e-03       1.733338e-01       7.097058e-03       4.098606e-02
      468000       6.157100e-03       7.718298e-04       3.368902e-03       1.624000e-01       9.428267e-03       3.400880e-02
      470000       4.211829e-03       5.813072e-04       2.567611e-03       1.847056e-01       9.458756e-03       3.865864e-02
      472000       7.793782e-03       4.628961e-04       4.264085e-03       1.452424e-01       6.944194e-03       3.764901e-02
      474000       7.128457e-03       6.092790e-04       3.653836e-03       2.121204e-01       8.112333e-03       3.720528e-02
      476000       5.234721e-03       2.077604e-04       2.766231e-03       1.464341e-01       8.826797e-03       3.871444e-02
      478000       5.635695e-03       8.370941e-04       3.038883e-03       1.675379e-01       9.427441e-03       3.437858e-02
      480000       1.054193e-02       7.629024e-04       5.688035e-03       1.734270e-01       7.742898e-03       3.897214e-02
      482000       9.339255e-03       5.239815e-04       5.054967e-03       1.810313e-01       8.326589e-03       3.769246e-02
      484000       7.331021e-03       1.028396e-03       3.910935e-03       2.244893e-01       6.909774e-03       4.216955e-02
      486000       9.251713e-03       2.288110e-04       4.683527e-03       2.005416e-01       1.001985e-02       3.848867e-02
      488000       1.320709e-02       4.830989e-04       7.629077e-03       1.646703e-01       8.052031e-03       3.671650e-02
      490000       6.928264e-03       5.451650e-04       3.888024e-03       1.286651e-01       6.932593e-03       3.512581e-02
